customer_name,repository,url,default_branch,repo_score,package_version,is_root,count,Region,source
1097883937650253824,lab-gav,https://gitlab.com/primarybid/data-science/lab-gav,master,,1.31.0,1,1,EMEA,bc-app-uk-eu-west-2 -> eu-west-2
866714624925825024,aa_utils,https://bitbucket.org/economical/aa_utils,master,,1.34.0,1,1,NAM,bc-app-ca-ca-central-1 -> ca-central-1
866714624925825024,aa_utils,https://bitbucket.org/economical/aa_utils,master,,1.38.1,1,1,NAM,bc-app-ca-ca-central-1 -> ca-central-1
866714624925825024,ab_complex_claims,https://bitbucket.org/economical/ab_complex_claims,master,,1.34.0,1,1,NAM,bc-app-ca-ca-central-1 -> ca-central-1
866714624925825024,doc-ai,https://bitbucket.org/economical/doc-ai,master,,1.44.0,1,1,NAM,bc-app-ca-ca-central-1 -> ca-central-1
866714624925825024,idp_intake_automation,https://bitbucket.org/economical/idp_intake_automation,master,,1.13.1,1,1,NAM,bc-app-ca-ca-central-1 -> ca-central-1
866714624925825024,lighthouse_r2.4,https://bitbucket.org/economical/lighthouse_r2.4,develop,,1.20.0,1,1,NAM,bc-app-ca-ca-central-1 -> ca-central-1
866714624925825024,lighthouse_r2.4,https://bitbucket.org/economical/lighthouse_r2.4,develop,,1.31.0,1,1,NAM,bc-app-ca-ca-central-1 -> ca-central-1
866714624925825024,lighthouse_r2.4,https://bitbucket.org/economical/lighthouse_r2.4,develop,,1.34.0,1,1,NAM,bc-app-ca-ca-central-1 -> ca-central-1
866714624925825024,ms-os-summarization,https://bitbucket.org/economical/ms-os-summarization,master,,1.25.0,1,1,NAM,bc-app-ca-ca-central-1 -> ca-central-1
807098505364562944,rb-image-intelligence-platform,https://github.com/rb-na-emu/rb-image-intelligence-platform,master,5,1.68.0,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098505364562944,rbna-ai-api-engine,https://github.com/rb-na-emu/rbna-ai-api-engine,master,5,1.68.0,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098505364562944,rbna-customer360-service,https://github.com/rb-na-emu/rbna-customer360-service,master,6,,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098505364562944,rbna-customer360-service,https://github.com/rb-na-emu/rbna-customer360-service,master,6,1.28.0,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098505364562944,rbna-customer360-service,https://github.com/rb-na-emu/rbna-customer360-service,master,6,1.52.0,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098505364562944,sku-auth_api,https://github.com/rb-na-emu/sku-auth_api,master,6,,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098621488063488,chat-palm2-labtech,https://gitportoprd.portoseguro.brasil/cloud_devops/cbo/labtech/chat-palm2-labtech,master,,1.56.0,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098621488063488,embeddings-openai-labtech,https://gitportoprd.portoseguro.brasil/cloud_devops/cbo/labtech/embeddings-openai-labtech,master,,1.56.0,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098621488063488,embeddings-palm2-labtech,https://gitportoprd.portoseguro.brasil/cloud_devops/cbo/labtech/embeddings-palm2-labtech,master,,1.56.0,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098621488063488,gen-ai-vehicle-attributes,https://gitportoprd.portoseguro.brasil/ciencia-dados/generative-ai/gen-ai-vehicle-attributes,master,,1.40.0,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098621488063488,laboratorio-tech-gen-ia,https://gitportoprd.portoseguro.brasil/cloud_devops/cbo/laboratorio-tech-gen-ia,master,,1.56.0,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098621488063488,python-corp-gnia-adapter-llm,https://gitportoprd.portoseguro.brasil/plataforma_devops/corp/gnia/python-corp-gnia-adapter-llm,master,5,1.48.0,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098685883212800,dna-ml-ops,https://dev.azure.com/euilimited/DnA/_git/dna-ml-ops,master,,1.40.0,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098685883212800,dna-ml-ops,https://dev.azure.com/euilimited/DnA/_git/dna-ml-ops,master,,1.9.0,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098685883212800,dna-ml-ops,,refs/heads/tg-wrapper-fix-v2,,1.40.0,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098685883212800,dna-ml-ops,,refs/heads/tg-wrapper-fix-v2,,1.9.0,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098685883212800,dna-PythonBDDTemplate,https://dev.azure.com/euilimited/DnA/_git/dna-PythonBDDTemplate,master,,1.6.0,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
807098685883212800,ml-ops-level-one-pipeline-poc,https://dev.azure.com/euilimited/DnA/_git/ml-ops-level-one-pipeline-poc,master,,1.9.0,1,1,EMEA,bc-app2-eu-eu-west-1 -> eu-west-1
1212676580255564800,abakus-kubeflow-pipelines,https://github.com/volvo-cars/abakus-kubeflow-pipelines,abakus-2.0.5,6,0.7.1,1,1,EMEA,bc-app-eu-eu-central-1 -> eu-central-1
806755668572857344,airflow,https://gitlab.trendyol.com/data/data-platform/realtime-jfy/airflow,main,,1.22.0,1,1,EMEA,bc-app-eu-eu-central-1 -> eu-central-1
806755668572857344,airflow,https://gitlab.trendyol.com/discovery/reco-personalization/infrastructure/airflow,main,,1.22.0,1,1,EMEA,bc-app-eu-eu-central-1 -> eu-central-1
806755668572857344,airflow-yaml-parser,https://gitlab.trendyol.com/discovery/reco-personalization/infrastructure/airflow-yaml-parser,master,,1.16.1,1,1,EMEA,bc-app-eu-eu-central-1 -> eu-central-1
806755668572857344,dataops,https://gitlab.trendyol.com/data/data-platform/google-cloud-platform/dataops,master,,1.16.1,1,1,EMEA,bc-app-eu-eu-central-1 -> eu-central-1
